mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,result_doc_types
Hybrid_RRF,how to use automatic document feeder,semantic,medium,0.029986143112182617,0.6992148198508501,0.6992148198508501,1.0,0.6,0.6,0.6,0.3,0.6,0.4,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,adjust print density,semantic,medium,0.02988123893737793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,cancel print job,keyword,easy,0.026654958724975586,0.0,0.10209739512291163,0.1111111111111111,0.0,0.2,0.0,0.1,0.0,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,network troubleshooting guide,semantic,hard,0.027289628982543945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,recommended paper types,keyword,easy,0.02940082550048828,0.21398626473452756,0.32097939710179135,0.5,0.2,0.4,0.2,0.2,0.20000000000000004,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,how to reset the device,semantic,easy,14.703555822372437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,scan to email,keyword,easy,1.4619784355163574,0.0,0.11305340175787204,0.14285714285714285,0.0,0.2,0.0,0.1,0.0,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,print from mobile phone,semantic,medium,1.645754098892212,0.48522855511632257,0.48522855511632257,1.0,0.4,0.4,0.4,0.2,0.4000000000000001,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,connect printer to wifi network,semantic,medium,1.5500948429107666,0.8539316501572937,0.8539316501572937,1.0,0.8,0.8,0.8,0.4,0.8000000000000002,0.5333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,replace toner cartridge,keyword,easy,1.6845026016235352,0.5531464700081437,0.7622369974983191,1.0,0.4,0.8,0.4,0.4,0.4000000000000001,0.5333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,clean the printhead,semantic,medium,1.6727242469787598,0.3391602052736161,0.7821154372211577,1.0,0.2,1.0,0.2,0.5,0.20000000000000004,0.6666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,paper jam solution,keyword,easy,1.4363000392913818,0.8539316501572937,0.9609247825245575,1.0,0.8,1.0,0.8,0.5,0.8000000000000002,0.6666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,send fax to multiple recipients,semantic,hard,1.7258257865905762,0.6548086577531307,0.7528479435844877,1.0,0.6,0.8,0.6,0.4,0.6,0.5333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,factory reset printer,semantic,medium,1.8997817039489746,0.21398626473452756,0.21398626473452756,0.5,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,software update for printer,semantic,medium,1.7506742477416992,0.7227265726449519,0.7227265726449519,1.0,0.6,0.6,0.6,0.3,0.6,0.4,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,configure network settings,semantic,hard,1.6459081172943115,0.16958010263680806,0.4994819328264776,0.3333333333333333,0.2,0.8,0.2,0.4,0.20000000000000004,0.5333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,check ink level,keyword,easy,1.7285888195037842,0.3391602052736161,0.45221360703148816,1.0,0.2,0.4,0.2,0.2,0.20000000000000004,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,duplex printing setup,semantic,medium,1.9883341789245605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,scan document to USB drive,semantic,medium,1.6006731986999512,0.3391602052736161,0.3391602052736161,1.0,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,setup email notification,semantic,hard,1.9892852306365967,0.3391602052736161,0.3391602052736161,1.0,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,how to install printer driver,semantic,medium,1.941101312637329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,wireless connection setup,semantic,medium,1.761429786682129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,maintenance schedule,keyword,medium,2.249083995819092,0.14606834984270645,0.14606834984270645,0.25,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_CrossEncoder_L6,troubleshoot print quality,semantic,hard,1.6083879470825195,0.5087403079104241,0.6295516106099184,1.0,0.4,0.6,0.4,0.3,0.4000000000000001,0.4,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
