mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,relevant_count,result_doc_types
Hybrid_RRF,configure network settings,semantic,hard,0.12462878227233887,0.36496350364963503,0.28451429345617124,0.5,0.6666666666666666,0.6666666666666666,0.4,0.2,0.5,0.30769230769230765,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,send fax to multiple recipients,semantic,hard,0.2015218734741211,0.8905109489051095,0.7429887549112586,1.0,1.3333333333333333,1.6666666666666667,0.8,0.5,1.0,0.7692307692307692,8.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,clean the printhead,semantic,medium,0.14275765419006348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,factory reset printer,semantic,medium,0.12369918823242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Game"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,check ink level,keyword,easy,0.13050603866577148,0.43795620437956206,0.34141715214740553,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,duplex printing setup,semantic,medium,0.11353278160095215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""Academic"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,scan document to USB drive,semantic,medium,0.16721200942993164,0.43795620437956206,0.34141715214740553,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,maintenance schedule,keyword,medium,0.16581177711486816,0.43795620437956206,0.34141715214740553,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,1.0,"[""TechDocs"", ""Financial"", ""Other"", ""TechDocs"", ""Other"", ""TechDocs"", ""Other"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,energy saving mode,keyword,easy,0.13944315910339355,0.583941605839416,0.455222869529874,1.0,0.6666666666666666,0.6666666666666666,0.4,0.2,0.5,0.30769230769230765,2.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""Other"", ""TechDocs"", ""Other"", ""TechDocs"", ""Other"", ""Other"", ""Game""]"
Hybrid_RRF,change paper size,keyword,easy,0.10108041763305664,0.43795620437956206,0.3901910310256063,1.0,0.3333333333333333,0.6666666666666666,0.2,0.2,0.25,0.30769230769230765,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,how to install printer driver,semantic,medium,0.18618226051330566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,wireless connection setup,semantic,medium,0.1322331428527832,0.30656934306569344,0.2769272456306734,0.5,0.6666666666666666,1.0,0.4,0.3,0.5,0.4615384615384615,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_CrossEncoder_L6,paper jam solution,keyword,easy,37.26667666435242,0.36496350364963503,0.43286817504403197,0.5,0.5,1.25,0.4,0.5,0.4444444444444445,0.7142857142857143,6.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
